%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.lon,field.position.lat,field.position.height,field.pitch,field.roll,field.heading,field.linear_velocity.x,field.linear_velocity.y,field.linear_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.rtk_flag,field.odom_type,field.auxiliary_type,field.location_valid_flag,field.origin_lat,field.origin_lon,field.utm_position.x,field.utm_position.y,field.utm_position.z,field.change_origin_flag,field.utm_position_next.x,field.utm_position_next.y,field.utm_position_next.z,field.position_std_dev.x,field.position_std_dev.y,field.position_std_dev.z,field.orientation_std_dev.x,field.orientation_std_dev.y,field.orientation_std_dev.z,field.linear_velocity_std_dev.x,field.linear_velocity_std_dev.y,field.linear_velocity_std_dev.z,field.linear_acceleration_std_dev.x,field.linear_acceleration_std_dev.y,field.linear_acceleration_std_dev.z,field.angular_velocity_std_dev.x,field.angular_velocity_std_dev.y,field.angular_velocity_std_dev.z
1665537749755700201,387327,1665484682008043992,location,114.33528379999998,30.48910129999999,33.82400000000021,0.05848535491579883,0.01035814513815047,0.057139077743981304,11.380946600000003,-0.22772019999999762,-0.6366479999999977,1.0137003300032033,-1.275842323795197,9.5814468982624,0.0023427499854557373,0.014459972571105737,-0.14213182699729426,3,1,0,1,30.425457029885372,114.09623523096009,-1533.5734163450923,-16970.46000300394,33.82400000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749764136496,387328,1665484682018046424,location,114.33528379999998,30.48910239999999,33.83000000000021,0.058677096787422924,0.01035814513815047,0.05848127084535015,11.383998300000002,-0.24297869999999763,-0.6396996999999977,1.0221177662304033,-1.1387583623807969,10.117757835024,0.0035411566148057373,0.012995253357455737,-0.14199867070514424,3,1,0,1,30.425457029885372,114.09623523096009,-1533.4611421334941,-16970.45342956981,33.83000000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749773360404,387329,1665484682028107640,location,114.33528369999999,30.48910339999999,33.83700000000021,0.058677096787422924,0.010166403266526375,0.059823463946719,11.380946600000003,-0.26128889999999766,-0.6488547999999976,1.0461675840224034,-1.556022701071997,10.238006923983997,0.012728940773155738,0.008068470547905738,-0.13920238856999426,3,1,0,1,30.425457029885372,114.09623523096009,-1533.347967270811,-16970.44665096904,33.83700000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749789025320,387330,1665484682028107640,location,114.33528369999999,30.48910339999999,33.83700000000021,0.058677096787422924,0.010166403266526375,0.059823463946719,11.380946600000003,-0.26128889999999766,-0.6488547999999976,1.0461675840224034,-1.556022701071997,10.238006923983997,0.012728940773155738,0.008068470547905738,-0.13920238856999426,3,1,0,1,30.425457029885372,114.09623523096009,-1533.2351497402128,-16970.439893770646,33.83700000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749796066810,387331,1665484682041369208,location,114.33528369999999,30.48910439999999,33.84400000000021,0.05886883865904702,0.010166403266526375,0.06135739891971159,11.380946600000003,-0.2765473999999976,-0.6549581999999976,1.0690149109248035,-1.361219176956797,10.393128248742398,0.014060503694655736,0.010465283806605738,-0.13866976340139425,3,1,0,1,30.425457029885372,114.09623523096009,-1533.1225334459161,-16970.432975243442,33.84400000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749805653760,387332,1665484682051086296,location,114.33528369999999,30.48910539999999,33.85100000000021,0.05886883865904702,0.010166403266526375,0.06269959202108044,11.377894900000003,-0.28875419999999763,-0.6641132999999977,1.1387593825216034,-1.392483940086397,10.111745380575998,0.007935314255755737,-0.003382970576994263,-0.13773766935634427,3,1,0,1,30.425457029885372,114.09623523096009,-1533.0099171679105,-16970.425904981363,33.85100000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749814629212,387333,1665484682061075192,location,114.33528359999998,30.48910649999999,33.85800000000021,0.05886883865904702,0.010166403266526375,0.06404178512244929,11.371791500000002,-0.30706439999999763,-0.6702166999999977,0.8922487501536033,-1.6317796271167972,9.617521624950399,0.014193659986805737,-0.004581377206344263,-0.13760451306419427,3,1,0,1,30.425457029885372,114.09623523096009,-1532.897556137967,-16970.41869932676,33.85800000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749825356366,387334,1665484682071050136,location,114.33528359999998,30.48910749999999,33.86500000000021,0.05886883865904702,0.010166403266526375,0.06538397822381725,11.371791500000002,-0.3253745999999976,-0.6702166999999977,0.9788280942048033,-1.073823854342397,9.908524420233599,0.016723629537655736,0.011131065267355737,-0.13773766935634427,3,1,0,1,30.425457029885372,114.09623523096009,-1532.784688075989,-16970.411309029518,33.86500000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749836253960,387335,1665484682081023960,location,114.33528359999998,30.48910849999999,33.872000000000206,0.05906058053067111,0.01035814513815047,0.06691791319680984,11.374843200000003,-0.34063309999999763,-0.6732683999999977,1.1495818005280034,-1.509125556377597,10.1394026710368,0.02045200571785574,0.0028753751540557372,-0.13587348126624427,3,1,0,1,30.425457029885372,114.09623523096009,-1532.672106622072,-16970.403764048035,33.872000000000206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749847833362,387336,1665484682091097784,location,114.33528349999999,30.48910949999999,33.878000000000206,0.05906058053067111,0.01035814513815047,0.06826010629817958,11.371791500000002,-0.35589159999999764,-0.6763200999999976,1.2073013632288034,-1.194072943302397,9.419110628166399,0.025112475943105735,-0.0011193136104442629,-0.13560716868194425,3,1,0,1,30.425457029885372,114.09623523096009,-1532.5594521181938,-16970.396062273918,33.878000000000206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
